id,contracting_authority_name,url,address_id
160,Hasičský záchranný sbor Libereckého kraje,https://nen.nipez.cz/profil/HZS_LK,1148
161,Energetický regulační úřad,https://nen.nipez.cz/profil/ERU,1155
162,Krajské ředitelství policie Královéhradeckého kraje,https://nen.nipez.cz/profil/KRPHR,1169
163,Správa Pražského hradu,https://nen.nipez.cz/profil/SPH,1192
164,Městys Čestice,https://nen.nipez.cz/profil/MestysCestice,1214
165,"Dopravní společnost Zlín-Otrokovice, s.r.o.",https://nen.nipez.cz/profil/dszo,1228
166,Obec Moravany,https://nen.nipez.cz/profil/moravany,1236
167,Obec Lesní Hluboké,https://nen.nipez.cz/profil/ObecLH,1237
168,Česká republika - Kancelář Senátu,https://nen.nipez.cz/profil/KS,1242
169,Město Jeseník,https://nen.nipez.cz/profil/jesenik,1245
170,Obec Dobronín,https://nen.nipez.cz/profil/540916285,1247
171,Tiskárna Ministerstva vnitra,https://nen.nipez.cz/profil/TMV,1249
172,Městský soud v Praze,https://nen.nipez.cz/profil/MSOUDPHA,1251
173,Okresní soud Plzeň - město,https://nen.nipez.cz/profil/ProfilOSPM,1253
174,Ministerstvo spravedlnosti,https://nen.nipez.cz/profil/profilMsp,1260
175,Obec Střížov,https://nen.nipez.cz/profil/ObecStrizov,1266
202,Hasičský záchranný sbor Karlovarského kraje,https://nen.nipez.cz/profil/HZSKvk_,1309
203,Policejní akademie České republiky v Praze,https://nen.nipez.cz/profil/PACR,1311
204,Krajské ředitelství policie Libereckého kraje,https://nen.nipez.cz/profil/KRPLK,1314
205,Agentura pro podnikání a inovace,https://nen.nipez.cz/profil/API2017,1319
206,Sprintel s.r.o.,https://nen.nipez.cz/profil/Sprintel,1322
207,Město Jílové,https://nen.nipez.cz/profil/PZmestoJilove,1329
208,"Diagnostický ústav pro mládež, dětský domov se školou, středisko výchovné péče a základní škola, Ostrava - Kunčičky",https://nen.nipez.cz/profil/DUMOSTRAVA,1336
209,Ředitelství vodních cest ČR,https://nen.nipez.cz/profil/RVCCR,1074
210,Úřad pro civilní letectví,https://nen.nipez.cz/profil/Letectvi,1353
211,Nemocnice Blansko,https://nen.nipez.cz/profil/NemocniceBlansko,1366
212,Hasičský záchranný sbor Pardubického kraje,https://nen.nipez.cz/profil/hzspak,968
213,Obec Slabčice,https://nen.nipez.cz/profil/ObecSlabcice,1380
214,Městys Jimramov,https://nen.nipez.cz/profil/Jimramov,1390
215,Obec Štarnov,https://nen.nipez.cz/profil/obecstarnov,1410
216,Psychiatrická nemocnice Horní Beřkovice,https://nen.nipez.cz/profil/pnhob,1422
217,"Vodovody a kanalizace Vyškov,a.s.",,1428
218,Obec Stojčín,https://nen.nipez.cz/profil/ObecStojcin,1435
219,"Galerie výtvarného umění v Ostravě, příspěvková organizace",https://nen.nipez.cz/profil/GVUO,1437
220,Městys Knínice,https://nen.nipez.cz/profil/mestyskninice,1440
221,"SPORT Jablonec nad Nisou, s.r.o.",https://nen.nipez.cz/profil/sportjablonec,1442
222,Klášter dominikánů Jablonné v Podještědí,https://nen.nipez.cz/profil/klasterjablonne,1445
223,Ministerstvo pro místní rozvoj,https://nen.nipez.cz/profil/mmr,1458
224,Moravská zemská knihovna v Brně,https://nen.nipez.cz/profil/MZK,1477
225,Hasičský záchranný sbor Olomouckého kraje,https://nen.nipez.cz/profil/HZS_OK,1487
226,Správa uprchlických zařízení Ministerstva vnitra,https://nen.nipez.cz/profil/SUZMV,1498
227,Nemocnice Hranice a.s.,https://nen.nipez.cz/profil/nemhranice,1500
228,HULMAN - kovošrot s.r.o.,https://nen.nipez.cz/profil/hulmankovosrot,1503
229,Město Kojetín,https://nen.nipez.cz/profil/kojetin,1507
230,CASRI - Vědecké a servisní pracoviště tělesné výchovy a sportu,https://nen.nipez.cz/profil/CASRI,1391
231,Katastrální úřad pro Jihomoravský kraj,https://nen.nipez.cz/profil/KUJM,1510
232,Úřad pro ochranu hospodářské soutěže,https://nen.nipez.cz/profil/urad65349423,1516
233,"Dětský diagnostický ústav, základní škola a školní jídelna",https://nen.nipez.cz/profil/DDU_Bohumin,1527
234,Město Týniště nad Orlicí,https://nen.nipez.cz/profil/tynistenadorlici,1531
235,Charita Olomouc,https://nen.nipez.cz/profil/CharitaOlomouc,1537
236,"Buďánka, z.ú.",https://nen.nipez.cz/profil/budanka,1543
237,Česká republika - Kancelář Poslanecké sněmovny,https://nen.nipez.cz/profil/KPS,1547
238,Obec Sudoměřice u Bechyně,https://nen.nipez.cz/profil/obecsudomerice,1564
239,Obec Ruda,,1582
240,Česká centrála cestovního ruchu - CzechTourism,https://nen.nipez.cz/profil/Czechtourism,528
241,Město Vlašim,https://nen.nipez.cz/profil/vlasim,1600
242,Obec Nekmíř,https://nen.nipez.cz/profil/obnekmir,1609
243,Obec Veselíčko,https://nen.nipez.cz/profil/veselicko,1613
244,Město Svitavy,https://nen.nipez.cz/profil/msvitavy,1632
245,OBEC BOLEHOŠŤ,https://nen.nipez.cz/profil/Bolehost,1648
246,Moravská galerie v Brně,https://nen.nipez.cz/profil/MG,1653
247,Obec Kařez,https://nen.nipez.cz/profil/obeckarez,1656
248,Psychiatrická nemocnice Marianny Oranžské,https://nen.nipez.cz/profil/PNMO,1665
249,Obec Srubec,https://nen.nipez.cz/profil/obecSrubec,1669
250,"Střední škola technická a zemědělská, Nový Jičín, příspěvková organizace",https://nen.nipez.cz/profil/tznj,1694
251,Generální inspekce bezpečnostních sborů,https://nen.nipez.cz/profil/GIBS,1704
