id,building_number,city,country_code,latitude,longitude,postal_code,street
1177,2,Praha,CZ,50.05789645187511,14.452495477517072,14000,Děkanská
1178,159,Praha,CZ,50.048541253894626,14.490421116681762,14100,Hlavní
1179,,Čestlice,CZ,,,25101,Lipová
1180,4,Praha,CZ,50.089292278549024,14.489985489090957,13000,Na Jarově
1181,11,Praha,CZ,50.106814686262254,14.449150919284042,17000,Poupětova
1182,,Lhotka,CZ,,,73947,Lhotka
1183,24,Praha,CZ,50.103660450916294,14.435741486254319,17000,U smaltovny
1184,37,České Budějovice,CZ,48.954199455591926,14.467257938445425,37007,Strádova
1185,,České Budějovice,CZ,,,37010,Nemanická
1186,,Jindřichův Hradec,CZ,,,37701,Jarošovská
1187,,Kralupy nad Vltavou,CZ,,,27801,V Uličce
1188,,Kladno,CZ,,,27309,Třebízského
1189,65,Ostrava,CZ,49.794826769378695,18.23563884137614,70030,Pavlovova
1190,9,Praha,CZ,50.03820130678119,14.490660125105048,14900,Türkova
1191,6,Říčany,CZ,49.99510129848502,14.658341299303249,25101,Žižkova
1192,,Praha 1,CZ,,,11908,Hrad I. nádvoří
1193,,Praha 9,CZ,,,19800,
1194,,Kutná Hora,CZ,,,28401,Lorecká
1195,8,Praha,CZ,50.03322127095698,14.380999962039892,15200,Borského
1196,82,Jihlava,CZ,49.38282797058574,15.590578739264915,58601,Znojemská
1197,21,Hradec Králové,CZ,50.180468872666864,15.853899782481475,50009,Brněnská
1198,27,Ostrava,CZ,49.83962028472359,18.298952879798303,71000,Zámostní
1199,,Vsetín,CZ,,,75501,
1200,80,Praha,CZ,50.04522143471984,14.480986953313217,14100,Hlavní
1201,3,Praha,CZ,50.008929181609616,14.384305778046397,15900,Na hvězdárně
1202,,Tábor,CZ,,,39001,Vančurova
1203,19,Ostrava,CZ,49.811253937625466,18.271973848698774,70300,Erbenova
1204,29,Praha,CZ,50.090215470030806,14.489095109156388,13000,Na Jarově
1205,,Tábor,CZ,,,39003,Čsl. armády
1206,,Sezemice,CZ,,,53304,
1207,,Chrudim,CZ,,,53701,Čs. armády
1208,135,Brno,CZ,49.14010658438457,16.60442618294619,61900,Vídeňská
1209,104a,Brno,CZ,49.14998552542098,16.600683922585688,61900,Vídeňská
1210,,Pravčice,CZ,,,76824,
1211,1a,Brno,CZ,49.20173339299724,16.67914661482599,62800,Josefy Faimonové
1212,53,Šlapanice,CZ,,,66451,Čechova
1213,,Boršov nad Vltavou,CZ,,,37382,
1214,,Čestice,CZ,,,38719,
1215,104,Praha,CZ,50.096187902390085,14.625569875524059,19300,Ve žlíbku
1216,8,Praha,CZ,50.076554646015914,14.49039035597696,10000,Černokostelecká
1217,,Záryby,CZ,,,27713,
1218,181,Ústí nad Labem,CZ,50.67382241593209,14.01786989841655,400 01,Masarykova
1219,,Příšovice,CZ,,,463 46,
1220,6,Praha,CZ,50.06609747366616,14.500470836599373,10000,Světická
1221,,Teplice,CZ,,,41501,V domkách
1222,14,Praha,CZ,50.10667229042146,14.455554958177583,17000,Jankovcova
1223,,Partizánske,,,,95804,
1224,2,Praha,CZ,50.08376974474473,14.47727931442497,13000,Jana Želivského
1225,208,Beijing,CN,39.9111518,116.4895926,100025,NO.208 Ciyunsi Beili
1226,61,Praha,CZ,50.0583638898534,14.5025335288057,10600,Pomněnková
1227,,Ostrava,CZ,,,70200,
1228,,Zlín,CZ,,,76001,Podvesná XVII
1229,18,Brno,CZ,49.193290550307886,16.59576321733397,60200,Úvoz
1230,18,Praha,CZ,50.05994553787546,14.430157338823472,14000,Štětkova
1231,8,Ostrava,CZ,49.84813801230223,18.28854598403877,70200,Sadová
1232,,Praha 6,CZ,,,16000,Charlese de Gaulla
1233,16,Jablonec nad Nisou,CZ,50.73102862004034,15.158811555399213,46601,Žitná
1234,,Zákolany,CZ,,,27328,
1235,14,Praha,CZ,50.017229209839435,14.450280791351767,14200,Novodvorská
1236,,Moravany,CZ,,,69650,
1237,,Lesní Hluboké,CZ,,,66483,
1238,64,Brno,CZ,49.15823318663934,16.64472170348436,62000,Kaštanová
1239,32,Praha,CZ,50.06076352644454,14.293516226349592,15521,Tylovická
1240,38,Praha,CZ,50.05774866053033,14.491285792354995,10600,Jesenická
1241,4,Praha,CZ,50.069252889262465,14.480982927159989,10000,Na hroudě
1242,4,Praha,CZ,50.09002767710373,14.405348081919918,11800,Valdštejnské náměstí
1243,5,České Budějovice,CZ,48.983871086830916,14.479819646780332,37004,Klaricova
1244,36,Opava,CZ,49.931706572779134,17.899239309863383,74601,Hradecká
1245,1,Jeseník,CZ,50.22937010036571,17.204592338743083,79001,Masarykovo nám.
